IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,11356,(VO-213A) - Drivaksel høyre,1633427368,,,90,PCE,,138,12,1490.4,,2750,2200
TRUE,11357,(VO-223A) - Drivaksel,1633427369,,,90,PCE,,74,11,799.2,,2999,2399.2
TRUE,11359,(VO-206) - (FD-285) - Drivaksel høyre,1633427370,,,90,PCE,,63,11,680.4,,2390,1912
TRUE,11360,(TO-124A) - Drivaksel Venstre,1633427371,,,90,PCE,26000000,63,9,680.4,,3250,2600
TRUE,11361,(TO-323) - Drivaksel,1633427372,,,90,PCE,,82,9,885.6,,3200,2560
TRUE,11362,(TO-152A)- Drivaksel venstre,1633427373,,,90,PCE,20480000,69,8,745.2,,2560,2048
TRUE,30001,(VW-305A)- (vw-143A)- Drivaksel,1633427374,,,90,PCE,,43,7,464.4,,1499,1199.2
TRUE,53154,(PG-110A)- ((P177AL)) -((245101))- Drivaksel venstre,1633427375,,,90,PCE,,57,7,615.6,,1790,1432
TRUE,0482-V75R,(HO-259A) - Drivaksel høyre,1633427376,,,90,PCE,22400000,82,7,885.6,,2800,2240
TRUE,0726q,(VW-284) - Drivaksel høyre,1633427377,,,90,PCE,,81,7,874.8,,2940,2352
TRUE,37140-3507,(MB-226) - Drivaksel høyre,1633427378,,,90,PCE,,72,6,777.6,,3125,2500
TRUE,AAAAAAA,(VO-108) - Drivaksel venstre,1633427379,,,90,PCE,,57,6,615.6,,2150,1720
TRUE,ABSRING,(NI-174) - (241481) - Drivaksel venstre,1633427380,,,90,PCE,,114,6,1231.2,,3990,3192
TRUE,AD-315,AD-214A (AD-206A) - Drivaksel høyre,1633427381,,,90,PCE,,55,6,594,,2200,1760
TRUE,Bedriftspakke,BM-104 - Drivaksel venstre,1633427382,,,90,PCE,,62,6,669.6,,2180,1744
TRUE,CB-MB-9442,(Vw-247)- (VW-245)- Drivaksel,1633427383,,,90,PCE,,75,6,810,,2870,2296
TRUE,CB-MB-997,(MB-307) - Drivaksel,1633427384,,,90,PCE,,71,6,766.8,,3100,2480
TRUE,CB10000,(VW-145)- (vw-146)- Drivaksel,1633427385,,,90,PCE,,61,6,658.8,,2510,2008
TRUE,CB10001,(OP-206A) - Drivaksel høyre,1633427386,,,90,PCE,,52,6,561.6,,1560,1248
TRUE,CB10003,(TO-153A) - Drivaksel framaksel venstre,1633427387,,,90,PCE,25000000,49,5,529.2,,3125,2500
TRUE,CB10004,(TO-132A) - Drivaksel venstre,1633427388,,,90,PCE,,71,5,766.8,,3145,2516
TRUE,CB10006,(CT-258) - Drivaksel høyre,1633427389,,,90,PCE,23200000,74,5,799.2,,2900,2320
TRUE,CB10007,PG-206 -(PG-207)-(245104)- Drivaksel høyre,1633427390,,,90,PCE,,51,5,550.8,,1999,1599.2
TRUE,CB10009,(RN-239) - Drivaksel høyre,1633427391,,,90,PCE,,79,5,853.2,,2999,2399.2
TRUE,CB10010,(RN-132) - Drivaksel venstre,1633427392,,,90,PCE,,61,5,658.8,,1990,1592
TRUE,CB10012,(FD-272A) - (FD-242A)- Drivaksel høyre,1633427393,,,90,PCE,,74,5,799.2,,2990,2392
TRUE,CB10013,BM-204 -(BM184RN)- Drivaksel høyre,1633427394,,,90,PCE,,63,5,680.4,,2480,1984
TRUE,CB10014,(Gsp -261257 ) Drivaksel bak venstre,1633427395,,,90,PCE,17520000,37,5,399.6,,2190,1752
TRUE,CB10015,(BM-601) - Drivaksel,1633427396,,,90,PCE,,114,5,1231.2,,3180,2544
TRUE,CB10017,(HO-159A) Drivaksel venstre,1633427397,,,90,PCE,23992000,84,5,907.2,,2999,2399.2
TRUE,CB10019,(VO-210A) - Drivaksel Volvo framaksel høyre,1633427398,,,90,PCE,18000000,61,5,658.8,,2250,1800
TRUE,CB10021,(FD-275)Drivaksel framaksel høyre,1633427399,,,90,PCE,28720000,100,5,1080,,3590,2872
